,word,values_
13,nacchio,"[ 0.67426  -0.72146   0.10055  -0.37451  -0.29867  -0.46855   0.85998
 -0.73088  -0.62839  -0.55411   0.61798   0.26789   0.076404 -0.24876
  0.30058  -0.3975    0.6863    0.11529   0.18727  -0.027095 -0.066317
 -0.12361  -0.24389   0.44636  -0.61739   0.05172   0.65782   0.029482
 -0.55792   0.58049   0.9841    0.61273  -0.053943 -0.10347  -0.94398
  0.90774   0.54236   0.41176   0.26234  -0.075497 -0.082027 -0.28208
  0.85751  -0.052226 -0.44897   0.60424   0.15105  -1.264     0.92688
 -0.10051  -0.26444  -0.47382   0.10491   0.18633  -0.45129   0.4621
  0.22628  -0.5027    0.28045  -0.54383  -0.6621   -0.16346  -0.074821
 -0.48911  -0.45484  -0.75354   0.84107   0.64247  -1.0983    0.60488
  0.34365  -0.60821   0.21106   0.22063  -0.32357  -1.2069   -0.41579
  0.106    -0.059915  0.58312   1.5958   -0.56842  -0.62573  -0.54284
 -0.17889  -1.2356   -0.36769  -0.13393  -0.18932   0.64576   0.29529
 -0.2444   -0.34011  -0.058127  1.3718   -0.82674   0.59098  -0.15277
 -0.18102   0.32967 ]"
14,cultured,"[-7.2120e-02  7.1393e-01  2.0885e-01  2.7898e-01 -1.5837e-01  5.3078e-01
  7.4253e-01 -2.1338e-01  8.0384e-03  5.6174e-01 -9.1945e-01 -4.1974e-03
  5.5872e-01  2.5699e-01  1.1459e-01  2.9825e-01 -1.9991e-01 -1.6778e-01
  7.8879e-01 -6.6479e-02 -9.3688e-03 -5.0626e-02  3.6522e-01 -5.9174e-01
  1.5773e-02  4.8877e-01  2.0313e-01 -4.4956e-01  1.8155e-01  6.7714e-01
  3.6682e-01  4.9392e-01 -3.0561e-01 -4.0288e-01  6.3800e-01 -2.0852e-01
 -7.9155e-01  4.3537e-01 -1.1606e-03 -1.9926e-01 -1.4870e-01 -9.8233e-01
 -6.7370e-01  2.4614e-01  2.6662e-01 -2.0732e-02  5.6964e-01  3.0405e-01
  1.1982e-01  4.7945e-01 -4.8013e-01  1.3308e-01  8.8866e-01 -2.5772e-01
 -1.2259e+00  6.3686e-01 -7.6099e-01 -1.2353e-01 -2.3004e-01 -5.8909e-01
 -4.9688e-01  5.0932e-01 -3.5446e-01 -1.0621e-01  2.7284e-01  1.3244e-01
  5.5435e-01  5.9913e-02  6.4144e-01 -7.3031e-01  4.1059e-01  1.2792e-01
  5.6608e-01 -1.6096e-01  3.6150e-01  3.4110e-01 -1.4781e-01 -5.4980e-01
  4.5161e-01 -1.7849e-03  3.7215e-01  5.7721e-01 -4.5655e-01  1.2070e+00
 -5.3163e-01  3.5507e-02  9.2480e-01  1.2359e-01 -4.4400e-01 -8.5134e-01
  1.2965e-01 -1.0768e-01  4.3674e-01 -5.5490e-01  5.6875e-02 -1.3932e-01
 -9.9867e-01 -1.0744e+00 -3.9842e-01  2.1935e-01]"
15,skittish,"[ 0.30054  -0.23979   0.7158   -0.19298  -0.64725   0.11188  -0.83893
 -0.52465   0.63366  -1.2427   -0.19234   0.13826  -0.001309 -0.92498
  0.13765   0.099296 -0.53985  -0.27281   1.2089   -0.075474  0.16387
  0.54248   0.18887  -0.21712  -0.16166  -0.13456  -0.023589  0.44132
 -0.41982   0.49549   0.018402 -0.59351  -0.17306  -0.34867  -0.092074
  0.61031   0.042914 -0.035963  0.642     0.027094 -0.24709  -0.30177
 -0.069748  0.16282  -0.13557  -0.41933   0.57289   0.67192   0.71738
 -0.40833  -0.78989  -0.47721  -0.35487  -0.02968  -0.30682  -0.036961
  0.46437  -0.70421  -0.10518  -0.39268   0.2854    0.51592   0.15998
  0.56307  -0.17753  -0.16102   0.43496   0.40249   0.71959  -0.53973
 -0.044041 -0.45769  -0.58152  -0.10968  -0.61013   0.12029  -0.38323
 -0.021969 -0.21891  -0.83029   0.66964   0.060633 -0.63634   0.33935
 -0.11774  -0.83101   0.075132  0.72456  -1.1578   -0.64566  -0.32431
  0.28117  -0.23804  -0.58409  -0.18982   0.2468    0.11846   0.27452
 -0.41943   0.62775 ]"
16,ryu,"[ 0.10661   0.68185   0.68602   0.17633  -0.62296   0.041405 -0.50228
 -0.15573  -0.086395  0.6299   -0.11089   1.3673    0.36921   0.35603
  0.016653  0.26676  -0.13742   0.44659  -0.8202   -0.35646   0.46714
 -0.15321   0.24809   0.78739  -0.30912   1.0677   -0.51652   0.46081
 -0.66419   0.14685  -1.0112    0.65296  -0.41802   0.25597   0.27292
 -0.76005  -0.81104  -0.34827  -0.70778  -0.41719  -0.42254   0.52807
 -0.42088   0.039644  0.39802  -0.3092    0.078592 -0.17437   0.20733
  0.33709  -0.85553  -0.07623   0.20798  -0.25259   0.6928    0.29507
 -0.098749  0.014532 -0.52999   0.1607   -0.015686  0.098904 -0.13586
  0.45892  -0.2502   -0.034354  0.81198   1.0006    0.3619    0.86675
 -0.6054    0.24947  -0.41445  -0.26114   0.12682   0.092346 -0.66483
  0.34608   0.55019  -0.063036  0.074844 -0.36544  -0.40847  -0.32795
 -0.51949   0.39642  -0.92874   0.12411   0.7903    0.9383    0.31917
  0.54982   0.2564    0.56717   0.72749  -0.77829  -0.48912  -0.45831
 -0.66556  -0.51203 ]"
17,heh,"[-0.37819   -0.46046    0.63391   -0.17042   -1.417     -0.20815
  0.47072   -0.43761    1.7582    -0.43755   -0.41203   -0.24652
 -0.092441  -0.14596    0.23007   -0.046907  -0.76367    0.39614
  0.27275   -0.56994    0.27451    1.1608    -0.24675    0.48548
  0.79171    0.36578   -1.5289    -0.19914   -0.056575  -0.68729
  0.20499   -0.76719   -0.031718   0.5015    -0.4506    -1.5111
  0.78558    0.65613    0.038509  -0.46257    0.89593    0.94756
 -0.45067   -0.11346   -0.013582  -0.7614    -0.29036   -0.82053
  0.5844     0.25987   -0.68327   -0.56259   -0.33004    0.50917
 -1.5597     1.3165     1.2849     0.21288   -0.50437   -0.92719
  0.0095701  0.12272    0.029177  -0.26259    0.75416   -0.13553
  0.38144    0.63272   -1.4938     0.39629    0.93272    0.57658
 -0.20181   -0.5617    -0.13893   -0.0801     0.3493     0.15177
 -0.33871   -0.54061    1.2914    -0.27666    0.87694   -1.0704
 -0.14926    1.2876    -0.10772    0.67258    0.34623    1.2064
  0.27512    0.42243   -0.043569  -0.26053    0.53039   -0.043495
  0.67729   -1.0285    -0.067186   0.44163  ]"
18,roofing,"[-4.8024e-01  8.4467e-01 -3.8339e-01 -3.3621e-01  2.1227e-01 -8.1658e-01
 -3.7855e-01  9.4568e-02  4.8867e-05  1.3034e+00  8.7512e-01 -9.5090e-01
  5.6334e-01  1.3626e-01 -2.5862e-01 -5.4658e-01  3.5398e-01 -1.2814e-01
  1.1967e+00 -4.1414e-01 -6.1280e-01  2.2798e-01  1.9588e-01 -1.2553e-01
  2.3207e-01 -1.1317e-01  1.9303e-01  2.3801e-01 -3.9721e-01 -5.4032e-01
  7.3822e-01  5.4488e-01  6.6005e-02  3.2720e-01 -1.0201e+00  4.7843e-02
 -2.5576e-01  5.9440e-02  4.1562e-01 -1.0267e-01  6.4928e-02  3.0137e-02
 -2.3087e-01 -5.6517e-01 -7.1350e-02 -4.0494e-01 -4.8717e-01  1.5797e-01
  9.8533e-02 -1.0959e-01 -9.2254e-01  3.3266e-01 -3.8679e-01  2.0026e-01
 -4.4601e-02  5.1293e-01 -4.1441e-01 -3.2949e-02  7.7693e-01  2.2831e-01
 -8.1319e-02  3.0993e-01 -1.4188e-01  1.0318e+00  1.0062e-01 -1.1485e-01
  1.4324e+00  3.6625e-02 -3.5024e-01 -1.4782e+00 -8.8140e-01  9.9356e-01
  5.9414e-01 -2.2644e-02  7.5034e-01 -1.1444e-01  4.6417e-01  8.0283e-01
  6.2213e-02  1.6424e-01 -2.8946e-02  3.4995e-02 -4.0199e-01  4.0155e-01
  2.0529e-01  1.7953e-01  5.0258e-01  1.0588e-01 -4.1604e-01 -2.3655e-01
  5.3641e-01 -1.0875e+00 -1.4588e-01 -5.7890e-02  5.9139e-01 -6.7550e-02
  4.4227e-01  2.5815e-01  5.0027e-01  5.0475e-01]"
19,resonant,"[-0.21496    0.68509    0.076737   0.14288    0.16945    0.12244
 -1.1518    -0.31418    0.22793    0.42285   -0.43442   -0.49421
 -0.45547   -0.1383     0.35394   -0.28774   -0.50905   -0.24773
  1.3289     0.069489   0.29955   -0.40812    0.5015    -0.39441
  0.91871   -0.34463    0.29       0.91001    0.4324     0.55583
  0.27385   -0.43711    0.061478   0.20816   -0.031393   0.028453
 -0.29606    0.2704     0.23443   -0.13973    0.75546   -0.27902
 -0.19612   -0.37922   -0.77332    0.23742    1.1815    -0.034957
  0.2679    -0.10874    0.20287    0.10663    0.74862    0.056438
  0.14404   -0.1998     1.1342     0.18685    0.20495    0.22161
  0.43977    0.56942    0.76237   -0.38898    0.36576   -0.7491
  0.26611   -0.17855   -0.10163   -0.78238    0.19898   -0.032071
  0.90646    0.087173   0.49596   -0.14792    0.46124   -1.039
  0.39144   -0.17412   -0.51186   -0.31357   -0.37169    0.2352
 -0.35309    0.71195    0.46365    0.053477  -0.077349  -0.67749
 -0.35962    0.8602    -0.57008    0.53457   -0.0085426  0.25795
 -0.53057   -0.91659   -0.32811    0.042389 ]"
20,uta,"[ 1.1397     0.24939    0.14341    0.046578   0.005598   0.063358
  0.74794    0.15708    0.332      0.084975   0.70097    0.94507
  0.01693    0.96019   -0.79186   -0.40154    0.055993  -0.73249
 -0.25301    0.73772   -0.21166    0.40638   -0.25815    0.11489
  0.088566  -0.64556    0.30096    0.10543    0.019508  -0.70341
 -0.50055    0.45153   -0.39986    1.0413    -0.9685     0.20463
  0.90921    0.63447    0.59417    0.23653   -0.12362    0.80907
 -0.48463    1.1053     0.80171    0.5981     0.62909   -0.53756
 -0.38223    0.26985   -0.48117    0.41049    0.11802    0.50679
 -0.67406    0.37435    1.2219     0.73068   -0.02181    0.20397
  0.0064988 -0.43882    0.018503  -0.64924   -0.043394   0.12737
 -0.17662   -0.061485  -0.68631    0.086086  -0.64463   -1.2324
 -0.052895   0.36835    0.60704    0.44145    0.99995   -0.36606
 -0.14647    0.14646   -0.46728   -0.33039    0.62957    0.41794
 -0.11119    0.090301   0.19987    0.3742    -0.014196   0.46148
  0.35726    0.13925   -0.28193    0.38636    0.58981    0.16581
 -0.33725    0.55528    0.16967   -0.76675  ]"
21,interpretive,"[-1.0334e-01  4.0399e-01 -1.5380e-01  1.4348e-01  3.5679e-01  7.3812e-02
 -2.3197e-01  6.3497e-01 -1.8373e-01 -2.1463e-01 -3.9742e-01  9.3403e-02
 -2.6114e-01 -7.2806e-01  8.5585e-01  1.1384e+00  7.4633e-01  4.9993e-01
 -2.6875e-01 -1.4386e-01 -2.9702e-01  3.1299e-01  3.9630e-02 -1.7737e-01
  4.8926e-01 -2.9641e-01  1.8111e-01  6.7423e-01 -7.3827e-01 -6.1969e-01
 -1.2259e+00 -1.6566e-01 -4.1840e-01  7.7772e-01 -2.1654e-01  1.7953e-01
 -8.0189e-01 -3.3763e-02 -1.6678e-01 -1.9982e-01  1.7496e-01  3.6456e-01
  1.6952e-01 -3.1641e-01  7.0528e-02 -1.2180e-01 -8.7702e-02 -1.0286e-01
  1.6115e-01  3.3346e-01  6.5876e-01 -1.3458e-01 -3.7985e-01 -3.5938e-01
  7.7180e-01 -4.7025e-01  9.7786e-01 -6.0995e-01  3.9655e-01  2.7416e-01
 -2.6694e-02  2.9509e-01  1.0342e+00  3.4460e-01 -1.7314e-01  1.4157e-02
  4.1542e-01 -5.0250e-01  3.5673e-01 -2.5971e-02 -2.0127e-01  9.4307e-02
  5.8390e-01 -4.7136e-01  3.2278e-01 -3.8496e-01  4.6197e-01  6.7169e-01
  2.4587e-01 -1.1625e+00 -9.1615e-01  2.4849e-01  8.2626e-01 -3.7525e-01
 -2.3019e-01  6.6417e-01  6.1187e-01  5.7834e-01  8.5794e-04  9.4092e-02
  2.1402e-02 -6.9943e-01 -4.4465e-01 -1.8070e-02 -4.2585e-02 -4.6798e-01
 -2.4522e-01 -1.1763e+00  3.9789e-01  1.2633e+00]"
22,fluctuate,"[-0.40436    0.62437   -0.2651    -0.065504  -0.059939   0.28827
  0.094281  -0.21898   -0.04492   -0.55733   -0.97627    0.23189
  0.35186   -1.2352     0.20428   -0.53675   -0.82581    0.1118
  0.020245  -0.2692     0.84242   -0.75292    0.41908    0.95005
 -0.5936    -0.62255   -0.12162   -0.96917    0.61439    0.027797
 -0.47894   -0.23336   -0.37823   -0.47789   -0.025783   0.89666
  0.71303   -0.12919   -0.37337   -0.85517    0.83573   -0.16145
 -0.97558    0.31888   -0.085415  -0.40137    0.37118   -0.25945
  0.073496  -1.3326     0.4023    -0.31919    0.57954    0.60706
  0.012257   0.50317    0.31103   -0.10053   -0.0014413 -0.055335
 -0.2351     0.74138    0.089753   0.516     -0.076407   1.0226
 -0.0055041 -0.82775    0.77517   -0.26645   -0.26441   -0.45063
  0.61892    0.066341   0.078496  -1.2385    -0.5407    -0.33042
  0.26032   -0.018096   0.46198    0.19582   -0.26124   -1.1506
  0.1941    -0.73062    0.11283    0.016259   0.21644    0.11865
 -0.96587    0.76299   -0.83483   -0.6381     0.14895    0.20892
  0.5924    -0.2584    -0.070595   0.63639  ]"
