,word,values_
6,gleiberman,"[-4.5831e-01 -2.0421e-01 -1.0083e+00  2.8403e-01 -1.6769e-01  5.4346e-02
  1.2537e-02  4.8879e-01 -4.6541e-01  7.4657e-02  7.3409e-01 -5.0108e-01
 -1.0552e+00 -2.6418e-01  4.0083e-01 -1.2886e-01  4.6896e-02 -4.8975e-01
  4.2578e-01  4.8675e-01 -1.2618e-02 -3.4326e-01 -1.3522e+00 -4.3214e-01
 -1.3645e-03 -6.9565e-02  4.2053e-01  1.2211e+00 -3.9875e-01  5.7926e-01
 -3.9332e-01  1.9529e-01 -2.9134e-01 -3.0429e-01  7.5193e-01  5.7514e-01
  7.0584e-01  3.2882e-01 -9.2971e-01 -4.3473e-01 -4.3914e-03  1.7847e+00
 -6.1917e-01  6.7527e-01  8.1249e-02 -5.1892e-01 -7.8168e-01 -8.7726e-03
  9.4059e-01  5.0619e-01  6.3405e-01  3.6929e-01  1.7818e-02 -8.9138e-01
  5.5118e-01  1.4700e-01  3.1720e-01 -6.4693e-02 -2.9720e-01  4.9777e-01
  1.1071e+00 -5.7437e-01 -3.9749e-01 -9.7902e-01 -5.1741e-01 -7.7353e-01
  1.5451e-01 -5.9054e-01 -2.2535e-01 -1.0834e-01 -4.5168e-02  1.4627e+00
  6.3128e-01  3.9415e-01 -5.7587e-01 -5.6832e-01 -3.6649e-01 -7.4560e-01
 -2.9657e-01 -2.7150e-01 -5.6598e-01  6.6279e-02 -7.3969e-01 -1.1459e-01
  3.2575e-01 -1.6917e+00 -4.2036e-01 -3.7895e-01  3.8304e-01 -3.6442e-01
 -5.9013e-02 -5.5372e-01 -9.8477e-02  3.0666e-02 -1.9212e-01 -1.3786e-01
  1.7818e+00  6.2937e-01 -2.2345e-01  2.8462e-01]"
7,żyrardów,"[-0.30343   -0.54557    0.77458    0.66255    0.61551    0.59244
 -0.082693   0.26108    0.18       0.26243   -0.020056  -0.17481
 -0.27952   -0.27409    0.24041    0.14459   -0.53084    0.66854
  0.30099    0.43313   -0.34612    0.65019    0.57682   -0.38558
 -0.49605    0.51313    0.3737     0.17977   -0.2476    -0.033853
  0.1466    -0.75243    0.2456    -0.90959   -0.24215   -0.5515
  0.47953   -0.33672    0.18602   -0.32832   -0.44106   -0.30124
  0.0073498 -0.28499   -0.32033   -0.15195    1.0081    -0.1297
 -0.35798   -0.23485    0.5777    -0.038886  -0.68306   -1.1858
  0.17416    0.29545    0.026146  -0.21293   -0.64237   -0.15999
  0.45976   -0.16191    0.45992    0.43559   -0.1834    -0.053002
  0.036958   0.32388    0.096136   0.32458    0.38741    0.24841
  0.24971    0.38525    0.51103   -0.14374    0.050065  -0.059466
  1.0339     0.28484   -0.53234    0.81299   -0.18296    0.1125
  0.50081    0.50166   -0.59039    0.23706    1.1413     1.3093
 -0.036163  -0.85815    0.48983   -0.024329   0.337      0.97568
  0.22153    0.096288  -0.38488    0.1713   ]"
8,kalwaria,"[ 0.39824   0.12854   0.87747   1.2553    0.44044   1.0666   -0.62421
 -0.21978   0.40163  -0.02384   0.12978   0.37621   0.572    -0.16382
  0.69229   0.4734   -0.089266  0.44742  -0.04915  -0.49881  -0.43682
 -0.28107  -0.3091    0.25273  -0.67701   0.56594   0.49694   0.21058
  0.47521  -0.038896 -0.10993  -0.61597   0.60097   0.28713  -0.069572
 -0.11964   0.93545  -0.97636   0.51214  -0.77012  -0.042448  0.29033
  0.36272  -0.65317  -0.68414  -0.19931   1.0504    0.92293  -0.16429
  0.22241   0.036013 -0.39719  -0.6474   -0.59001  -0.24533   0.052156
 -0.54476  -0.44747  -0.32741  -0.73067  -0.29588   0.27953   0.65815
  0.017323 -0.33897   0.10175  -0.060031 -0.22129  -0.15163  -0.11067
  0.29674   0.66065  -0.0522    0.40203   0.23215   0.13562  -0.73142
  0.36713   1.1485    0.49589  -0.45544   0.44088   0.23903  -0.29186
  0.6833    0.48724   0.36987   0.068229  1.2653   -0.072612  0.56854
 -0.083067  0.5253   -0.29344   0.10612   0.52618   0.32747   0.46192
  0.30976  -0.26903 ]"
9,album-oriented,"[-0.50637   -0.1812    -0.036754   0.86703   -0.1369    -0.2101
 -0.10033   -0.017354   0.33459    0.61548    0.49098    0.086351
 -0.6464    -0.10111    0.45157   -0.48324    0.42916   -0.092204
  0.76116    1.1136     0.27045    0.75201   -0.49464   -0.65706
 -0.043274  -0.70849    0.43993    0.021323   0.54985    1.3146
  0.29081    0.50122   -0.23773    0.79055    0.27359   -0.68035
 -0.68222   -0.24802    0.31269   -0.27143   -0.12689    0.18449
 -1.011      0.82156   -0.1988    -0.76834    0.085831   0.36394
 -0.41179   -0.14337   -0.20747    0.70886    0.92876   -0.71196
  0.26092   -0.27538    0.092571  -0.48609    0.60649    0.57051
  0.75256   -0.5598    -0.17713    0.95082    0.10122   -0.52614
 -0.49489   -0.75164    0.13618   -1.0034    -0.26186   -0.27061
  0.55455    1.1058    -0.99803   -0.27082    0.1723     0.70515
  0.81812   -0.018973  -0.0088105 -0.26485    0.86682    0.16284
  1.152      0.32327   -0.48106    0.8383    -0.088008   0.37274
  0.17853    0.065652  -1.1589     0.57041    0.35839   -0.24828
 -0.48351    0.57181    0.67867    0.87223  ]"
10,amagansett,"[-0.12376   0.11877   0.201     0.38083   0.28897   0.079643 -0.054619
  0.25198   0.016866  0.173    -0.31418   0.12243  -0.40441  -0.25225
  0.054909  0.020191  0.10565  -0.35797   0.041025 -0.36232   0.25171
  0.62948   0.24537  -0.18009  -0.037309  0.36284  -0.74469   0.28949
 -0.71398   0.55257  -0.24537   0.23656   0.37762   0.30489  -0.21022
 -0.065297  0.05798  -0.68473   1.0775   -0.34464   0.53924  -0.10971
 -0.12194  -0.17252  -0.20866  -0.1315    0.65973  -0.064933  0.31422
  1.0352   -0.037022 -0.070286  0.36951  -0.53549  -0.10941   0.15128
  0.4456   -0.17583  -0.52356  -0.088851 -0.42514   0.31624  -0.23812
  0.067578 -0.42484  -0.34736   0.05056  -0.74863  -0.32419  -0.80341
 -0.14483   0.26949  -0.21875  -0.11045  -0.60429  -0.29007   0.10423
  0.38524  -0.22039  -0.24908  -0.62401  -0.10618   0.61327   0.13213
  0.89122   0.18483   0.080537  0.49416  -0.45621   0.52467  -0.17984
  0.35256   0.85182   0.27276  -0.15164   0.35943   0.14166   0.66185
  0.39682   0.067815]"
11,windowpanes,"[-0.11958   -0.036114  -0.56042   -0.0066014  0.038045   0.32293
 -0.12919    0.025887   0.36741    0.6599     0.348      0.33689
  0.52367    0.87909   -0.29811   -0.20277   -0.26662    0.59702
 -0.10961    0.28539   -0.22892    0.54398    0.47972   -0.12077
  0.36683   -0.42111    0.34546   -0.01663   -0.085403  -0.11709
  0.66275   -0.54533    0.49356   -0.23993   -0.21725   -0.59494
  0.34242   -0.95683    0.72668    0.046613   0.53565   -0.15043
  0.037191   0.41021    0.10041    0.35018    0.55716    0.3272
  0.43247   -0.32921    0.42365    0.19001   -0.76492   -0.24748
  0.53343    0.63566   -0.2171     0.51101   -0.23691    0.18339
 -0.43945    0.067094   0.38257    0.48359   -1.0221    -0.31612
  0.17303   -0.11562   -0.51494   -0.94403   -0.089759   0.5058
  0.74847   -0.038929   0.60253   -0.2006     0.27991   -0.12713
  0.15891    0.11243   -0.21685    0.23352    0.22705    0.6319
 -0.037384  -0.06304   -0.42876    0.16805   -0.61003    0.44353
  0.67079    0.028868  -0.52235    0.093615  -0.25125   -0.35328
 -0.23546   -0.02157   -0.19816    0.52666  ]"
12,balarama,"[-0.38568   -0.59924   -0.45046   -0.10917   -0.25569    0.59799
 -0.023353  -0.060054   0.23728   -0.45192   -0.041456   0.41703
 -0.86111    0.26475    0.1769    -0.64928   -0.041343   0.10981
  0.38689    0.62809    0.16414   -0.9795     0.18552    0.1264
  0.082529   0.29208   -0.020063   0.089467   0.28372    0.5308
  0.086597  -0.36142    0.030167   0.53991   -0.24593   -0.087383
 -0.27948   -0.071963   0.16224    0.16103    0.49073    0.86764
  0.35537    0.30143   -0.79658   -0.0071448  0.14298   -0.048863
  0.68255    0.37002    0.46036   -0.30419   -0.061738   0.059578
  0.057133   0.73189   -0.56778    0.04059   -0.92381   -0.3776
  0.74931    0.034965   0.28465    0.61348    0.71572    0.43553
 -0.21054    0.073956   0.66851   -0.11739    0.60618   -0.37409
  0.92329   -0.53583   -0.62716   -0.19847   -0.79391    0.14493
  0.5051    -0.20822   -0.26467    0.36162   -0.096379  -0.10049
  0.32669    0.022229  -0.49944   -0.60783   -0.032504  -0.33306
  0.055459  -0.60316   -0.19321    0.29978   -0.13133   -0.3093
 -0.184      0.47651    0.10472   -0.22269  ]"
13,sidecars,"[ 8.1848e-02 -8.0703e-02  4.1681e-02 -5.1154e-02 -2.3793e-01  3.1532e-01
  5.7256e-03 -9.7339e-02  3.4974e-01  9.9153e-02  4.7460e-01 -1.7526e-01
  8.5421e-02  6.0618e-01 -5.2331e-01 -1.0475e-02  3.1175e-01  2.2751e-01
  5.3774e-01 -3.3644e-01  8.3065e-01 -7.8260e-01  1.2171e-01  1.0266e-01
 -2.0587e-01 -1.2617e-01 -2.5104e-01  1.6884e-01 -2.4644e-01 -3.2520e-01
 -2.6646e-01 -3.4623e-01 -6.4660e-01  8.0250e-02  2.2658e-01  6.0581e-01
 -1.6936e-02  4.3305e-02 -4.3362e-01  1.1032e-01  6.9529e-01  1.5009e-01
 -2.1745e-01 -1.5354e-01 -3.0187e-01  1.4422e-02  7.7239e-01 -1.4318e-01
 -5.2321e-02 -6.0777e-01 -5.7846e-01  3.5826e-01  2.2644e-02  3.4587e-02
  1.7470e-01  1.2737e+00  6.0941e-01  5.2200e-01 -4.8292e-01  9.2861e-02
  5.5469e-02  1.7505e-01  2.2965e-01  6.0101e-01 -4.8203e-01  4.1126e-01
 -3.6185e-01 -4.2360e-01 -1.0120e-01 -5.4448e-01 -7.6635e-01  5.0291e-01
  2.1975e-01  3.2845e-01 -2.2167e-01  5.0937e-01 -5.0753e-01 -3.4731e-01
  3.1676e-01 -6.1175e-01 -3.7602e-01 -3.4325e-01  1.1818e-01  3.7692e-01
  3.4316e-01  1.8543e-01  1.0318e-01 -3.8322e-01 -6.9427e-01  3.5659e-02
 -4.0502e-01 -4.4922e-01  1.5229e-01  1.1533e-04  1.8548e-01 -3.5675e-01
 -5.1459e-01  4.3672e-01  6.5853e-02  5.8006e-01]"
14,"1,000-seat","[ 0.53208    0.44597   -0.070618  -0.0088426  0.0028571  0.38249
  0.071087   0.2407     0.006842   0.36134   -0.52781   -0.26559
  0.25767   -0.51426   -0.23501    0.036186  -0.17032    0.19866
  0.34883   -0.46599   -0.29592   -0.070125   0.5948    -0.78873
  0.3281    -0.21393    0.12313    0.6848    -0.26601    0.57481
  0.0077445 -0.4752     0.21997    0.38825   -0.1215    -0.11214
  0.23686    0.26667    0.086501  -0.2036     1.395      0.20108
  0.16332    0.24155    0.5129     0.37801   -0.028403  -0.20285
 -0.54532    0.44073   -0.51131   -0.52716   -0.46572   -0.71485
  0.23526   -0.48854    0.28024   -0.28108   -0.012927  -0.39163
  0.077271   0.22688    0.47782   -0.16371   -0.76414    0.39588
  0.28153    0.05392   -0.32882   -0.02577    0.77877   -0.28486
  0.27347    0.20475   -0.22769   -0.054204   0.095693  -0.46631
  0.80367   -0.0050254 -0.37315   -0.20652    0.80776    0.1459
  0.37958    0.43434    0.9781     0.39722   -0.16045    0.094081
  0.80249   -0.22319    0.24611   -0.15304    0.53517   -0.10663
  0.48899    0.18702    0.25816    0.66388  ]"
15,saidy,"[-5.0435e-01 -7.1727e-01 -7.2422e-01  3.2457e-01  5.7554e-01 -6.1123e-01
  9.4989e-01  1.2328e-01  5.7520e-02 -2.6314e-01  7.5982e-02  3.0607e-01
 -1.0987e-01 -4.6438e-01 -1.0668e-01  2.5532e-01 -8.4896e-01 -3.1989e-01
 -2.7157e-01 -1.0760e-01 -1.3688e+00  4.3359e-01  7.9651e-01 -7.9408e-02
 -5.0130e-01 -4.8530e-02 -3.0692e-01  8.2143e-01  1.0234e-01 -2.7715e-01
 -8.2854e-02 -4.2330e-01  1.1877e-01  2.3758e-01  6.0322e-02  1.5232e-01
  4.0873e-01  4.7440e-01 -1.4588e-02 -2.4474e-01  1.8235e-01  5.0764e-01
  2.0048e-02  8.3944e-02 -5.6167e-01 -5.0376e-01 -9.5267e-02 -1.8686e-01
  8.7748e-01 -2.4669e-01 -5.8711e-01 -6.7385e-02 -2.2771e-01 -1.8783e-01
  1.6065e-01  8.3625e-01  8.1642e-01  1.2637e-01 -3.6444e-01 -5.5224e-01
  4.3754e-01 -6.8729e-01  5.3963e-01 -1.9455e-01  2.1058e-01  6.9947e-02
  3.5802e-02  7.8831e-04  4.3518e-02 -3.5862e-02  3.3781e-01  4.7280e-01
  4.1853e-01  3.3682e-01  3.5863e-01  6.2046e-01  4.7947e-01 -5.0734e-01
  8.0826e-01 -3.2794e-01 -4.4162e-01 -6.2033e-01  1.1180e-01 -2.6142e-01
  4.7684e-02 -1.7447e-01 -5.9621e-02  2.0484e-02  4.8825e-01  5.8584e-01
  5.5050e-01  6.3917e-01 -5.3133e-02 -6.2445e-01  3.0740e-01 -4.0093e-02
 -1.4889e-01  6.8775e-02 -9.0498e-01 -7.3334e-01]"
