,word,values_
15,thaçi,"[-4.7326e-01 -3.6349e-01 -2.0173e-01  7.7298e-01  2.4804e-01 -5.2200e-01
  4.8036e-01 -6.1361e-01  4.0072e-01 -2.6961e-01  2.2252e-01  8.7652e-01
 -1.4639e-01 -2.3202e-01  4.4700e-01 -2.0564e-01 -5.9855e-01 -1.1083e-01
  1.7091e-01 -3.9160e-01 -4.6572e-01 -4.7071e-01  3.8021e-01 -2.3002e-01
 -2.7163e-01  2.4033e-02  9.7651e-02  4.3321e-01  1.6113e-01 -1.5715e-01
  8.1133e-02  5.1766e-02  1.6492e-01  1.9093e-01 -4.2440e-06 -3.3267e-01
  7.1445e-01  1.2162e-01 -1.9233e-01  6.8510e-02 -1.5005e-01  8.7673e-01
  2.1648e-01 -2.8518e-01 -2.2579e-01  3.4025e-01 -9.5578e-02  3.6069e-02
 -1.3259e-01 -7.2784e-02  7.3801e-02  1.2113e-01  8.5360e-02 -1.0947e-01
 -2.5757e-01  4.7170e-01 -1.4790e-01  3.6277e-01 -5.9332e-01 -3.8580e-01
  2.2279e-01 -4.0357e-01  6.1635e-01 -5.6521e-01  4.5253e-01  4.3899e-01
 -1.0056e-01 -2.3505e-01 -1.1072e-01  2.3579e-01 -3.0252e-02  1.7815e-01
 -4.9721e-01  1.7618e-01  1.0047e-01  2.9536e-02 -1.9886e-01  5.1275e-01
  4.7294e-01  3.2423e-01 -4.6385e-01  1.5406e-01  2.1239e-01 -8.6217e-01
  6.3189e-01 -2.2030e-01 -2.4331e-01  1.5617e-01  6.7362e-04  2.6648e-01
 -1.8985e-01  2.4477e-02 -9.8478e-02  2.6460e-01  6.3473e-02 -1.2301e-01
  2.0704e-01  2.6274e-01 -3.0202e-01 -1.7511e-01]"
16,luxembourgeois,"[ 0.011613  -0.5192    -0.0039063  0.26863    0.20964   -0.035786
 -0.29606   -0.040225   0.80055   -0.74332    0.77033    0.11478
  0.30574   -0.62418   -0.61426   -0.26212   -0.023184   0.48343
  0.36924   -0.28152   -0.38339    0.49712   -0.31977   -0.25093
 -0.070517  -0.52822   -0.61231    0.17209    0.077243  -0.0070025
 -0.42488   -0.24307    0.84058   -0.9572     0.40663    0.12305
  0.0655    -1.0159     0.64504   -0.5273     0.73258    0.93522
 -0.42803    0.70963    0.041561   0.54031    0.088084   0.57407
 -0.38059    0.32459   -0.52726    1.021      0.12543   -0.68883
 -0.50229    0.33408   -0.37129    0.75438   -0.29821   -0.81387
  0.16563   -0.76571    0.36312   -0.47036   -0.3002     0.29605
 -0.028495  -0.4624    -0.54536    0.34503   -0.12404    0.58234
  0.45128    0.40253    0.50904   -0.7084     0.29028   -0.18531
 -0.43103   -0.18558   -0.32209   -0.038179  -0.08152    0.32233
  0.67631    0.63443   -0.24684    0.84788   -0.040875  -0.3746
 -0.38944   -0.080506  -0.63345   -0.11721   -0.25372    0.18026
 -0.59087   -0.048906  -0.3784    -0.4847   ]"
17,bsharri,"[ 0.078104  -0.11998    0.46333    0.24451    0.23035    0.36545
 -0.077635   0.031341   0.31151    0.123     -0.40473   -0.4031
 -0.17632    0.0086539 -0.35344   -0.067521  -0.15653    0.086413
 -0.11349    0.21148    0.032084   0.16899    0.017972   0.038522
 -0.70748   -0.096392  -0.030359   0.26073    0.31001   -0.13619
  0.18125   -0.51779    0.55833   -0.059342   0.10231   -0.26497
  0.0080844 -0.089213   0.24382   -0.34408    0.10702    0.14253
 -0.09853   -0.26253   -0.10405   -0.055163   0.1722     0.20708
 -0.12527   -0.11544    0.17379    0.4663     0.016625  -0.42241
 -0.11193    0.89031   -0.15667   -0.4729    -0.48869   -0.74
  0.065436   0.19057    0.30855    0.028101  -0.11676    0.2418
 -0.43397   -0.40019   -0.86818    0.13864    0.22534    0.30767
 -0.32196    0.43666   -0.0070323 -0.002529   0.29172   -0.17539
  0.31417    0.23435   -0.65288    0.38835   -0.16317   -0.23976
  0.40922    0.60919   -0.49122    0.028303   0.13618    0.1848
  0.057561   0.14439   -0.053034  -0.070847   0.32908    0.41248
  0.49849    0.58004   -0.21336   -0.11246  ]"
18,lddp,"[ 0.16457   -0.12165    0.13708   -0.23231   -0.72317   -0.23329
 -0.04555   -0.20568    0.42563   -0.64349    0.38943   -0.24686
  0.093027  -0.23481   -0.54977    0.47986   -0.45715   -0.50919
  0.56627    0.078365  -0.15776   -0.26312   -0.22078   -0.10581
 -0.74927   -0.36663   -0.017611   0.48744    0.0090773  0.067387
  0.18654    0.55891    0.08243    0.29488   -0.24624   -0.32675
  0.2918     0.24896    0.014277   0.14425   -0.17302   -0.27445
  0.094852   0.44092   -0.061338  -0.19049    0.18909    0.23415
  0.32582    0.11097    0.39864   -0.20585    0.14064   -0.4067
  0.09597    0.82745   -0.12568    0.53979   -0.10975    0.16607
  0.25936    0.1698    -0.10183    0.16595   -0.17296    0.3433
 -0.46062   -0.42447    0.041082   0.48916    0.43085    0.34649
 -0.30487    0.29344   -0.33386   -0.37749   -0.13451   -0.03135
  0.44658    0.2813    -1.0093     0.3699     0.34278   -0.14616
  0.29934   -0.13259   -0.29901    0.44683    0.030809   0.3147
  0.28815   -0.05647   -0.28225    0.30043    0.40411   -0.18175
  0.10313    0.10554   -0.21096   -0.097993 ]"
19,clerodendrum,"[ 0.04324  -0.3306   -0.10063   0.022919 -0.1372   -0.1233    0.31453
 -0.27449   0.20783  -0.26281  -0.30275   0.48327   0.065993 -0.17527
 -0.20448   0.17448   0.017612  0.10584   0.27851   0.28371   0.041923
  0.16836  -0.49574  -0.2616   -0.19347   0.5784    0.13216   0.34372
  0.079203  0.49151  -0.041507 -0.49342   0.06663   0.17579   0.5095
  0.21422   0.22291  -0.49849   0.040485  0.043346  0.011998  0.30521
  0.16399   0.4055    0.033139 -0.23115  -0.24984   0.28006  -0.31693
  0.74975  -0.12749  -0.095709 -0.079122 -0.26054  -0.056065  0.64494
  0.12189  -0.02986  -0.55178  -0.068675  0.14314  -0.21445  -0.44376
 -0.45052   0.1502    0.21035  -0.26902  -0.53799   0.07087  -0.3831
  0.029667  0.2104    0.14715   0.23658   0.039723  0.33421  -0.027956
  0.43008   0.31708  -0.030969 -0.45714  -0.51131  -0.125     0.11456
  0.63031   0.019226 -0.12665  -0.20024   0.047417  0.35456  -0.27898
 -0.13869   0.40388   0.013664  0.57791  -0.093512 -0.13828   0.035591
 -0.37138  -0.10189 ]"
20,leopoldstadt,"[ 0.55557   -0.50664    0.4667     0.4294    -0.10231    0.12539
 -0.29921    0.36622    0.28693    0.37515   -0.31376   -0.42548
 -0.20603   -0.24749   -0.53371    0.48432   -0.38958    0.042372
 -0.0020403 -0.54386    0.22306    0.16849    0.11612   -0.19859
 -0.81417   -0.17559    0.29552    0.0044364  0.22096    0.24699
 -0.33945   -0.60309    0.052881  -0.012364   0.12217   -0.12044
  0.048687  -0.11488    0.25093   -0.28345    0.82724    0.16369
 -0.62358   -0.10634    0.23024   -0.37612   -0.094229   0.13437
 -0.059037   0.21998   -0.021247   0.13118   -0.028685  -0.57544
 -0.77824    0.37149   -0.04626   -0.28193   -0.57651   -0.24019
 -0.066987   0.31779   -0.048855   0.097187  -0.40993   -0.23257
 -0.1609    -0.29869   -0.30836    0.64709    0.395     -0.14334
  0.50017    0.36429    0.04905   -0.21738    0.056698  -0.73779
  0.4211    -0.094422  -0.70574    0.35269   -0.2308    -0.26189
  0.076202   0.1354    -0.52833   -0.34188   -0.26062    0.57796
  0.26054   -0.12546    0.23043    0.18866    0.52796    0.4925
  0.96166    0.55898   -0.16998    0.17283  ]"
21,atlanticus,"[ 2.5882e-01 -1.9063e-01 -1.0797e-01 -1.6720e-01 -2.5523e-01  3.2321e-02
  5.3314e-01 -1.7540e-02  2.8191e-01 -4.3481e-01  1.4478e-01  1.0917e-01
 -3.1518e-01  2.9068e-01 -5.2202e-01  2.1153e-01  1.3979e-01  1.1855e-01
  3.1755e-01 -3.3665e-02 -7.2576e-02 -2.3952e-01 -1.9695e-01 -1.7521e-01
 -1.8668e-01  3.1959e-01  3.1137e-01  5.3874e-01  5.0488e-02  4.1168e-01
 -1.9063e-01 -6.0271e-01 -4.1387e-02  3.6164e-01  2.3217e-01  2.8001e-01
  2.3759e-01 -5.3862e-01  2.3287e-01 -3.0680e-01 -2.6393e-01  1.1843e-01
  4.1300e-01  3.0418e-01  1.3041e-01 -1.9923e-01 -1.8981e-01  4.3848e-01
  1.0031e-01  1.0359e+00  9.2693e-02  3.1396e-01 -1.3644e-01 -4.0174e-01
  1.3518e-01  3.1235e-01  6.9676e-01 -1.2399e-01 -7.8296e-01 -1.8217e-01
  1.9160e-01 -2.3781e-01 -2.8466e-01 -4.3202e-01 -2.5869e-01 -2.4236e-02
 -2.2881e-01 -3.0724e-01 -2.9637e-01 -2.9658e-01  2.4287e-01  4.0187e-01
  1.6479e-02  4.3515e-01  3.0903e-01  2.0333e-01 -1.9105e-01  1.2534e-02
  1.7689e-01  6.5689e-02 -6.3654e-01 -4.6388e-01  1.5480e-01 -3.5074e-01
  6.1167e-01 -7.2070e-02  3.6644e-02 -6.7256e-01  4.0300e-01  4.2681e-01
  3.2630e-01  2.8706e-01  4.0428e-01 -1.0251e-02  8.7243e-01 -1.4663e-01
  9.4330e-04  1.7165e-02 -7.1417e-01  1.7897e-01]"
22,terreiro,"[ 0.6271    -0.025917  -0.19485   -0.0095978 -0.50241    0.10096
 -0.46009    0.6759     0.6128    -0.27247   -0.0015659  0.31952
  0.1681    -0.24926   -0.33876   -0.030065   0.12391    1.043
  0.036963  -0.12268   -0.03458    0.021053  -0.75623   -1.052
 -0.46917   -0.072577  -0.081394  -0.24927    0.4593     0.13528
  0.049757  -0.45627    1.2979    -0.14115   -0.086688   0.33008
 -0.031755  -0.15993    0.5305    -0.45122    0.95054    0.76132
 -0.47366   -0.041534  -0.52506   -0.26911   -0.20726    0.74069
 -0.67223   -0.043578   0.24553    0.35413   -0.56467   -0.76459
 -0.047979   0.41487    0.29965   -0.062391  -0.3765    -0.54076
 -0.3135     0.22948   -0.57661   -0.79328    0.23713    0.52606
 -0.077529  -0.084385  -0.54967   -0.27398   -0.045915   0.39745
  0.21174    0.16276   -0.83919   -0.74283    0.073104   0.13773
  0.47965    0.4177    -0.035775  -0.64704   -0.5888     0.38618
  0.40654    0.0026954  0.33213    0.28782    0.44749    0.44292
 -0.091836  -0.027055   0.38953   -0.12729    0.14325   -0.0032595
 -0.093845   0.14111   -0.17572    0.37692  ]"
23,falsone,"[ 0.10218   -0.2078    -0.71778   -0.044897  -0.006288  -0.26337
  0.028715  -0.57       0.43852   -0.19456   -0.038339   0.0065134
 -0.27569   -0.099258   0.058444   0.30627   -0.29717    0.18742
  0.048967   0.22906   -0.5275    -0.18849   -0.20969    0.079852
 -0.14613   -0.10589    0.12347    0.0022755 -0.2366     0.26708
 -0.35304    0.032654  -0.088644   0.27516   -0.20192    0.14991
  0.39503   -0.35594    0.18587    0.15819   -0.20338    0.5562
  0.059968   0.27637   -0.31113    0.33321   -0.12307   -0.53176
  0.4452     0.28235    0.23122    0.060594  -0.16299   -0.18383
  0.38138    0.50345    0.12067   -0.041138  -0.66765   -0.29032
  0.53146   -0.28676   -0.16317   -0.01761   -0.60336    0.20383
 -0.15602   -0.0031595 -0.25764    0.063268   0.14538    0.030203
  0.21803    0.7145     0.34063   -0.15371    0.063028   0.1753
  0.18592    0.35243   -0.29967   -0.23932   -0.24476   -0.44961
  0.34041   -0.15666   -0.1744     0.10774   -0.50758    0.12062
  0.072771  -0.19838    0.23037   -0.21033    0.63549    0.038854
 -0.040971   0.28976   -0.54758   -0.12432  ]"
24,"2,407","[ 0.16122  -0.036751 -0.164     0.49414  -0.19358   0.18182  -0.20272
 -0.065141 -0.0472    0.1648    0.028071  0.20883   0.20655  -0.58287
  0.59372  -0.13528  -0.42518   0.013174  0.084065  0.28068  -0.11449
  0.24752   0.22955  -0.47945  -0.23864  -0.60429   0.63913   1.0697
 -0.070446 -0.35431   0.41224  -0.22226   0.30826   0.053997  0.33694
 -0.32027   0.020307 -0.15057   0.34088   0.1101    0.3561    0.1349
 -0.11124  -0.074209 -0.1767   -0.40639  -0.14332   0.11761  -0.56978
  0.54997   0.24433   0.075804 -0.24232  -0.35766  -0.0928    1.0164
  0.17866   0.19037  -0.32019   0.093992 -0.15937  -0.026216  0.18863
  0.05897  -0.62731   0.032944 -0.22379  -0.36568   0.2049   -0.16365
 -0.3089    0.10666  -0.14474   0.52238  -0.046238  0.51548   0.093159
  0.17885   0.39251  -0.19135  -0.19938  -0.30526   0.41868   0.1016
  0.2639    0.079864  0.39825  -0.029073 -0.52304  -0.055662  0.30871
  0.17354   0.22898  -0.34334  -0.4439    0.12128  -0.35843   0.35908
 -0.067308  0.043925]"
