,word,values_
12,falchion,"[ 0.19712    0.03705   -0.51506    0.0030036  0.083246   0.12966
  0.031281   0.050384   0.24749    0.16668   -0.22074   -0.015283
  0.11239    0.15267   -0.23788    0.073587  -0.32449   -0.015594
  0.36941   -0.0033732 -0.35418   -0.21908   -0.82083   -0.19116
  0.13181    0.1883    -0.11669    0.12992   -0.035453  -0.038464
  0.38021   -0.21882   -0.12657   -0.16097    0.37413   -0.13645
  0.13144   -0.31811    0.20853   -0.081371   0.20994    0.097611
 -0.091173   0.067514  -0.029255  -0.21716    0.15503    0.34411
  0.055612   0.15219   -0.077575   0.36404   -0.075373  -0.46359
  0.093636   0.68975    0.010951   0.21779   -0.18578    0.025789
  0.28675   -0.019798  -0.29653   -0.085034  -0.098245   0.086414
 -0.2097    -0.34157   -0.38234   -0.25572   -0.035489   0.40673
  0.27987    0.44747   -0.21987    0.23605    0.037303  -0.033368
  0.7375    -0.09202   -0.30223   -0.14958    0.41254   -0.30532
  0.39024    0.18413   -0.082946  -0.014297   0.11489    0.17739
 -0.22856   -0.038665   0.084621  -0.067753   0.3741    -0.12014
  0.079985   0.13896   -0.1473     0.013366 ]"
13,monocline,"[-0.15341    0.075356  -0.3716     0.18837    0.067604   0.14522
 -0.0023922 -0.083695   0.016979   0.22407   -0.29656   -0.14222
  0.15612   -0.18882   -0.2935     0.53787   -0.60119    0.022998
  0.46509   -0.47122   -0.24862    0.19269   -0.019269  -0.42479
 -0.096103   0.063696   0.091316   0.24338   -0.50981   -0.27185
  0.12853    0.15455    0.028367  -0.19318    0.31449   -0.32542
 -0.099765  -0.42409    0.36753    0.0071283  0.030275   0.34953
 -0.028748   0.29434    0.19775    0.02036    0.16458    0.62223
 -0.14407    0.31577   -0.0081573  0.027469  -0.12963   -0.70477
 -0.026281   0.47848    0.15623   -0.21202   -0.51354   -0.78805
  0.16831   -0.3416     0.057483  -0.1482    -0.33092    0.20857
 -0.54259   -0.14236    0.10088   -0.21212    0.12734    0.16957
  0.092746   0.50125   -0.11679   -0.17795   -0.17585   -0.28609
  0.50491    0.039746  -0.42466    0.0096803  0.24935   -0.37318
  0.70226   -0.079445   0.017654   0.25103    0.37594    0.29355
  0.0044632 -0.31515   -0.47405   -0.30438    0.4942    -0.40627
  0.32524    0.29154   -0.025199   0.058513 ]"
14,heatshield,"[ 0.10742   -0.079378  -0.24392   -0.0064065 -0.3331    -0.086707
 -0.18185   -0.16304    0.21864    0.3239    -0.33357    0.11574
  0.092773  -0.49363   -0.31657    0.42974    0.069847   0.13427
  0.37344   -0.25788   -0.11401   -0.26164   -0.50502   -0.25133
  0.019944   0.0086083  0.22121    0.23172   -0.12256   -0.15604
  0.48423   -0.14449    0.11735    0.099133   0.060447  -0.22441
 -0.17037   -0.50567    0.034361   0.029391   0.27484    0.27469
  0.27398    0.11937    0.082865  -0.019664  -0.098257   0.34831
  0.1785     0.10546    0.066596  -0.030085  -0.070562  -0.38672
  0.41429    0.66791   -0.1213    -0.14355   -0.15282   -0.072454
 -0.059657  -0.11278    0.079388   0.1938    -0.17315    0.074704
 -0.52853   -0.31799   -0.45018   -0.74488    0.15148    0.45318
  0.44654    0.63616    0.025198  -0.027173   0.090483   0.089163
  0.81681    0.25525   -0.22935   -0.062301   0.52309   -0.0072854
  0.23495    0.18876   -0.046541   0.34413    0.12784    0.1881
 -0.12436   -0.27596   -0.3752    -0.13419    0.49918   -0.052473
 -0.26118    0.086146  -0.34409    0.0081289]"
15,rosan,"[-0.23737   -0.68395   -0.37883    0.21654   -0.057467  -0.45871
  0.20717   -0.32564    0.65403    0.23279   -0.021302  -0.016401
 -0.3594    -0.24983    0.18707   -0.080204  -0.065429   0.32912
  0.56816   -0.11497   -0.33816    0.077758  -0.21142   -0.17806
 -0.38839    0.17434    0.28304    0.14669    0.30321    0.13183
  0.084199  -0.44897   -0.42986    0.10806    0.37137   -0.22544
  0.22667   -0.21119    0.3322     0.31019    0.37188    0.54677
 -0.42609    0.39801   -0.45554    0.22716   -0.097443   0.33972
  0.076986   0.25886    0.11288    0.078768  -0.37067   -0.41045
  0.52621    0.74984   -0.24226    0.36396   -0.36442   -0.093538
  0.34018   -0.43802   -0.0087762 -0.13867   -0.23006   -0.082594
 -0.26881    0.027965  -0.14361    0.20859    0.038816  -0.049316
  0.24029    0.34509    0.12734   -0.0068525  0.047289  -0.0011192
  0.23758    0.29213   -0.24087   -0.20268    0.28799    0.16378
  0.61842   -0.095195  -0.53962    0.10586   -0.27473    0.069125
  0.17168    0.23335    0.24494   -0.05555    0.1356     0.071236
 -0.0045777  0.24685   -0.55411    0.055701 ]"
16,486-based,"[-0.022098   0.22451   -0.10938    0.37972   -0.49465   -0.017756
  0.35927   -0.28711    0.48292    0.48516   -0.23323    0.22797
 -0.012795  -0.28044    0.14563    0.28967   -0.4294     0.18307
  0.49135   -0.18138   -0.35026   -0.0033009 -0.18905   -0.62193
 -0.021149  -0.22713   -0.42221    0.13571   -0.10666    0.46442
 -0.18273    0.17113    0.10549   -0.45824    0.041876  -0.31133
 -0.3679    -0.79245    0.67633    0.4172     0.29288    0.26696
 -0.20363    0.37651   -0.10933    0.18503   -0.18017    0.56327
  0.3956     0.3191     0.072266  -0.32847   -0.21524   -0.38745
  0.59094    0.31331   -0.039654   0.075876  -0.062978  -0.37024
 -0.40813   -0.26488   -0.072855  -0.1961    -0.56626    0.62236
 -0.48434   -0.032196  -0.35836    0.48661    0.28263    0.77009
  0.17235    0.55295   -0.34141    0.23774    0.17511    0.13013
  0.79413   -0.018658   0.098256  -0.28272   -0.015475   0.074025
 -0.077477   0.20634    0.44391   -0.20251    0.013403   0.21108
  0.010935   0.55391    0.071102  -0.12397    0.43941   -0.4307
  0.41047    0.13013   -0.19597   -0.051366 ]"
17,spim,"[ 0.035742   0.055198  -0.12519   -0.0082841 -0.093798   0.075488
  0.18998   -0.22642    0.27037   -0.50614    0.046562  -0.11035
 -0.24049    0.16082   -0.16026    0.35816   -0.40062    0.13246
  0.41997    0.3566    -0.010638  -0.035718  -0.48778   -0.21844
 -0.24165    0.33016    0.18061    0.55737    0.0331    -0.038727
  0.28758   -0.087737   0.062399  -0.0092197  0.23869    0.025846
  0.050101  -0.41991   -0.29199    0.24951    0.15364    0.51704
 -0.012129  -0.057791   0.0076868 -0.22868   -0.25539    0.19563
 -0.022986   0.23689    0.18251    0.0012701  0.083791  -0.39979
 -0.070961   0.79652    0.46376    0.028964  -0.655     -0.48781
 -0.038783   0.063954  -0.096286  -0.23837   -0.40653    0.081384
 -0.34703   -0.34676   -0.08384   -0.34317    0.020844  -0.075865
  0.11796    0.63077   -0.081497   0.036673  -0.066187   0.15443
  0.37605    0.047087  -0.27385   -0.43608    0.11327   -0.26535
  0.3111     0.43782    0.23186   -0.17081   -0.099014   0.2869
 -0.0068747  0.27704   -0.048398  -0.51287    0.53408   -0.48473
  0.040793   0.13687   -0.40409   -0.16618  ]"
18,prescriptivism,"[ 0.39336   0.025776 -0.072749  0.54079   0.22118   0.011148 -0.28755
 -0.31252   0.20697  -0.20416  -0.43307   0.11549  -0.31217  -0.30684
 -0.070859  0.11972   0.027692  0.4566    0.5952    0.21607  -0.41837
 -0.021373 -0.35008  -0.11955  -0.2091    0.052095  0.39399   0.54154
  0.00497  -0.16964   0.27804  -0.22929  -0.30202   0.064446  0.3049
 -0.39555   0.29554  -0.26822   0.18881  -0.071161  0.36222   0.53105
 -0.25477  -0.066444 -0.31188  -0.23794  -0.026849  0.25834  -0.085115
  0.44991   0.19392  -0.07367  -0.31467  -0.56047   0.65703   0.47584
 -0.055339  0.014966 -0.057015 -0.29181   0.51847  -0.38441   0.23077
 -0.60953  -0.062019  0.1297   -0.2867   -0.10737  -0.041515 -0.14279
  0.1009    0.33063   0.24683   0.16147  -0.2556   -0.059419  0.058011
 -0.05992   0.16361   0.17523  -0.55043  -0.22132   0.33036  -0.10701
  0.4126    0.31786  -0.25125   0.30063   0.21754   0.39188   0.25013
 -0.19963  -0.14672  -0.081682  0.43286  -0.21852   0.2737    0.28311
 -0.17457   0.23172 ]"
19,induna,"[-8.8797e-02 -2.3752e-01 -4.0516e-01  2.6674e-01 -3.1428e-01 -1.3179e-01
  2.2998e-01 -2.2566e-01  3.0439e-01 -1.0324e-01  2.3967e-02 -1.7256e-01
 -8.0638e-02 -2.9711e-01 -2.3347e-01  8.8985e-02  1.0912e-01  3.8219e-02
  4.6257e-02 -1.2920e-01  7.9857e-02 -7.8085e-02 -7.9889e-01 -5.2048e-01
 -7.2585e-04  2.8989e-01  2.9912e-01  7.9362e-01  9.7709e-02  3.3583e-01
  6.4183e-03 -3.9199e-01 -1.1819e-01 -1.8384e-02  1.5035e-01 -1.7538e-01
 -1.4154e-01 -4.2372e-01  1.4786e-01 -8.0345e-02  2.0090e-01  5.8939e-01
  8.6413e-02  3.9514e-01  1.7880e-01 -1.9110e-01 -2.6319e-01  5.1709e-01
 -9.2731e-02  3.5692e-01 -3.2920e-01 -1.9181e-02  2.7425e-01 -3.3964e-01
  3.5478e-01  5.8703e-01  3.1799e-01  2.9669e-01 -3.9696e-01 -1.6796e-01
  4.8420e-01 -4.8185e-01 -1.4708e-01  5.6336e-02 -7.9169e-02 -2.3044e-01
 -2.0608e-01 -4.6402e-01 -2.0488e-03  1.7669e-01  1.3981e-01  2.1317e-01
  9.7888e-02  2.1627e-01 -1.6062e-01 -7.6091e-02 -5.8939e-02  3.5992e-01
  3.8356e-01 -2.5146e-01 -2.9136e-01 -8.6944e-02  1.2169e-01 -2.0488e-01
  5.8251e-01  7.7806e-02 -3.0130e-02  3.1275e-01  1.3377e-01 -2.0679e-02
 -3.4749e-01  4.2978e-01  8.3054e-02 -3.4939e-02  7.2373e-01 -1.8836e-01
 -6.3438e-02  9.9788e-03 -3.8098e-01 -1.1491e-01]"
20,money-coutts,"[ 0.24439   -0.5001    -0.40273    0.064221   0.2057    -0.29642
  0.081439  -0.51649    0.33222   -0.19743    0.12444    0.058387
  0.033213  -0.33327   -0.021872  -0.015542  -0.88651    0.17256
  0.20857   -0.2375    -0.2555    -0.21907   -0.043782   0.080469
 -0.31747   -0.0297    -0.24171    0.55744    0.029403   0.075734
 -0.21925   -0.20837    0.044618  -0.33392    0.094643   0.084456
 -0.055196  -0.12011   -0.02423    0.4838    -0.036999   0.30186
 -0.27929    0.0013984 -0.12079    0.39106   -0.10216    0.25008
  0.67879    0.25198   -0.064285   0.099156  -0.16529   -0.73555
 -0.10586    0.69582   -0.12893    0.041501  -0.88049   -0.29167
  0.12345   -0.64094    0.49317    0.037266  -0.30196   -0.18492
 -0.44565   -0.45045   -0.22179    0.3073     0.24441    0.27022
  0.059886   0.090313  -0.068611   0.11276    0.091448  -0.019582
  0.46601   -0.26374   -0.18438    0.13228   -0.10415   -0.0026886
  0.49415   -0.2119     0.089522  -0.31893   -0.056376   0.13657
 -0.3237    -0.2941     0.17829   -0.13567    0.080702  -0.3553
 -0.01245    0.23679   -0.51658   -0.30055  ]"
21,onychophora,"[ 0.21486    0.20558    0.13931   -0.29113   -0.19508    0.39177
 -0.11896   -0.20268    0.18458   -0.2057     0.21664   -0.060357
 -0.11525    0.13042   -0.22839   -0.23078   -0.18727    0.041913
  0.32387    0.095639  -0.328     -0.0019189 -0.0017395  0.075676
 -0.34488   -0.1878    -0.019926   0.19341    0.29302    0.010461
  0.045142  -0.1082     0.12532   -0.41831    0.20631    0.06988
  0.40832   -0.14309    0.30851   -0.075405   0.24476    0.10422
 -0.28231   -0.020508  -0.13361   -0.07816   -0.019936   0.54851
 -0.012371   0.60076   -0.02552    0.071391  -0.045943  -0.54676
  0.20838    0.6076    -0.019783   0.32306   -0.61234   -0.43506
  0.14058   -0.14231    0.036998  -0.22469   -0.23095    0.25322
 -0.57515   -0.20512   -0.27474   -0.203      0.16321    0.11965
  0.037857   0.28732   -0.32449    0.1116     0.19146   -0.14903
  0.71799    0.030119  -0.4631     0.012543   0.64359    0.058584
  0.18239    0.16647    0.0070376  0.14582   -0.057562   0.43711
  0.051116  -0.12763    0.45706   -0.20851   -0.059542  -0.22703
  0.15557    0.15929   -0.1051    -0.026423 ]"
22,huacas,"[ 0.2748    -0.061134  -0.26289   -0.038855  -0.33449   -0.40453
 -0.062403  -0.14691    0.39505   -0.26329   -0.0018851  0.046991
  0.12831   -0.044348  -0.40871    0.026114  -0.16258    0.41342
  0.36688    0.41141    0.10835   -0.16604   -0.43824   -0.35132
 -0.43839   -0.18605    0.33414    0.38509   -0.015402  -0.10087
  0.19985   -0.56042    0.07077   -0.01965    0.15569   -0.038682
 -0.053686  -0.27862    0.12912    0.14769    0.19882    0.31067
  0.018261   0.31549   -0.034199  -0.088288  -0.27159    0.23804
 -0.07423    0.51157   -0.11315    0.19878   -0.30221   -0.71046
  0.14601    1.0063     0.20033    0.12103   -0.40743   -0.18078
 -0.24189   -0.060333  -0.11684   -0.0091272 -0.17897    0.14755
 -0.3271    -0.47198   -0.26972   -0.43524    0.22375    0.23605
  0.29437    0.39929   -0.28987    0.01255    0.08087    0.46265
  0.62067    0.26561   -0.24454   -0.45414    0.15612   -0.088282
  0.028161   0.17923   -0.22248    0.053808  -0.0078393  0.22657
 -0.18368   -0.04246    0.073709  -0.037102   0.032567   0.093226
  0.039508   0.0018463 -0.26412    0.40442  ]"
23,hecha,"[ 0.31614   -0.19022   -0.29634    0.73122    0.066224   0.038322
  0.47878    0.30448    0.41261   -0.016087   0.031417   0.24496
 -0.48863   -0.19693   -0.068344  -0.021678  -0.32042   -0.12568
  0.49435   -0.017978  -0.22648    0.081166  -0.55188   -0.42776
  0.17216    0.10934   -0.27821    0.21729    0.10323   -0.0019234
 -0.012322  -0.42345   -0.462     -0.44051    0.56293   -0.077614
 -0.099301  -0.85411    0.31233    0.077832   0.75075   -0.017994
 -0.1271    -0.10801    0.29466    0.35868   -0.37201    0.41595
 -0.55541    0.29656    0.032181   0.32366   -0.24857   -0.6292
  0.23654    0.47252   -0.17048    0.3672    -0.38953   -0.2046
 -0.25065   -0.67172   -0.022366  -0.48343   -0.53959   -0.25776
 -0.70603   -0.81562   -0.089535   0.28883    0.25671    0.44633
  0.013869   0.24113    0.19655   -0.32321    0.0077106 -0.18225
  0.1805     0.15899   -0.3373    -0.5881     1.0685    -0.036914
  0.10396   -0.31621    0.057537   0.12794   -0.51459    0.064397
  0.45442   -0.12592    0.37802   -0.17229    0.25972    0.35328
 -0.41107    0.32395   -0.29198    0.15139  ]"
