,word,values_
10,peaker,"[-0.15342    0.28281   -0.28272    0.11643   -0.3462    -0.56111
  0.33941   -0.34746   -0.03835   -0.49471   -0.43238    0.054059
 -0.28116    0.44677   -0.51283    0.12034   -0.25641    0.56555
  0.39603    0.18303    0.053891  -0.22537   -0.11064   -0.44678
  0.48839    0.32815    0.17937    0.44014    0.077484   0.50481
  0.20802   -0.29813    0.55959   -0.20995    0.26385    0.057645
  0.073723  -0.88864    0.079267   0.052305   0.60391   -0.11788
  0.062934   0.020814   0.16281    0.11318   -0.32101    0.38779
 -0.36092    0.16314   -0.18705   -0.49918   -0.36827   -0.46594
  0.20371    0.90584    0.21775    0.38502   -0.20604   -0.25864
  0.20514   -0.24128    0.27342   -0.26338   -0.043382   0.42228
  0.070536  -0.11375   -0.006716  -0.42168    0.15341    0.071784
 -0.38651   -0.13227   -0.068567   0.010229   0.16564   -0.30313
  0.26058    0.62188    0.079762   0.0032029  0.17264    0.21255
  0.55005    0.67091    0.70085    0.18371    0.11171    0.15656
 -0.052532  -0.21351    0.20308   -0.062121  -0.10055   -0.054068
 -0.1397    -0.35093   -0.2731    -0.10609  ]"
11,palicki,"[ 0.043644  -0.331     -0.56025    0.45133   -0.27784    0.023301
 -0.38583    0.41803    0.15567   -0.62821    0.087131  -0.11839
 -0.0089628  0.021061   0.098768   0.25309   -0.49903    0.28441
 -0.025894   0.46034   -0.4914    -0.3265    -0.47903    0.40728
 -0.047099   0.27688    0.11453    0.20519   -0.055674   0.26068
 -0.19235   -0.13736   -0.032239  -0.11551    0.037827  -0.12931
  0.01751   -0.17203    0.22483   -0.15966    0.014994  -0.37686
 -0.032679   0.35304   -0.20433   -0.35904   -0.13791    0.36622
  0.31849   -0.60859   -0.072659   0.51443    0.29232   -0.22126
  0.1045     0.75374   -0.15817    0.20141   -0.90788   -0.23149
  0.059623  -0.32965   -0.18786    0.29577   -0.15113   -0.14543
 -0.35138   -0.60168   -0.080617   0.24791    0.13163    0.50063
  0.15589    0.74089    0.21902    0.23782    0.1982     0.18786
  0.84463   -0.25472   -0.47219   -0.54787    0.1627    -0.43497
  0.69325    0.071205  -0.079028   0.32873    0.12664    0.55775
  0.3744     0.21739    0.15903   -0.26615    0.32299    0.33288
  0.065329   0.18432   -0.23304    0.23216  ]"
12,sursee,"[ 0.060666  -0.6413     0.2301     0.81624    0.31913    0.19695
  0.070395   0.36054   -0.021374  -0.07409   -0.24283    0.10988
  0.10113    0.20152   -0.20211    0.22375   -0.15049    0.27156
  0.0067095 -0.32681   -0.2237     0.29463   -0.057126   0.05972
 -0.67115   -0.50692    0.23352    0.10469    0.041451  -0.17863
  0.0099001 -0.23039    0.37108   -0.34932    0.055875  -0.40903
 -0.0066935  0.014063   0.11184   -0.2782     0.38871   -0.12905
 -0.14114   -0.38705   -0.098369  -0.19467    0.39181   -0.085853
 -0.13691    0.14749   -0.34914   -0.15597   -0.24122   -0.35018
 -0.22118    0.41987   -0.38082   -0.72012   -0.65379   -0.81936
 -0.11315   -0.32832    0.12125    0.046134  -0.37224    0.03378
 -0.62714   -0.49306   -0.15132    0.3522     0.35622   -0.22237
 -0.15285    0.65957   -0.11275    0.28652    0.4427    -0.4188
  0.58228    0.19341   -0.5557     0.098025  -0.17662    0.10013
  0.42706    0.076004  -0.47545   -0.15979   -0.159      0.37844
  0.1557    -0.10323   -0.26524    0.24763    0.83645    0.3574
  0.12111    0.64522   -0.45902   -0.19362  ]"
13,182d,"[ 4.3452e-01 -1.3657e-01 -3.3635e-01 -1.8241e-01  1.1695e-01 -3.5069e-01
 -8.3925e-02 -3.1927e-01  8.2309e-02 -1.7561e-04  6.0507e-01 -4.4256e-01
 -4.6031e-02 -8.4285e-01 -4.4148e-01  7.6465e-02 -1.1997e-01 -3.5355e-01
  6.7023e-01 -6.0517e-01 -2.0647e-01 -1.1124e-01  9.2254e-02 -3.7622e-01
 -2.7465e-01 -2.6798e-01  1.3490e-01  5.7268e-01  6.3972e-02  1.4420e-01
 -1.6029e-01  3.4025e-01 -1.1449e-01  5.0796e-01 -5.7200e-02 -2.9243e-01
  4.6095e-02 -1.9593e-01  6.2576e-01  4.8797e-01 -1.2959e-02  3.8483e-01
  3.7617e-02  3.4734e-01  3.6860e-01  1.4528e-01  1.4465e-01  4.1293e-01
  3.2730e-03  3.4203e-01 -1.3453e-01  2.3413e-01 -1.3518e-01 -6.5651e-01
  2.0098e-01  6.2499e-01  5.3613e-01  9.9598e-02 -2.3147e-01  9.3623e-02
 -1.1393e-01 -1.8791e-01  1.3973e-01  1.2433e-01 -1.3859e-01  1.1291e-01
 -5.3604e-01 -1.8754e-01 -2.1072e-01  2.2971e-01  3.2155e-01 -3.5202e-01
  1.6913e-01  5.9294e-01 -3.1675e-01  4.8449e-01 -3.0077e-01 -1.6414e-01
  7.0160e-01  2.8583e-01 -7.2628e-01 -2.1329e-01  3.0688e-01 -2.0608e-01
 -2.1407e-01  2.8093e-02  4.2703e-01  4.7428e-03 -3.2232e-03  3.7525e-01
 -1.0407e-01 -5.2234e-01  1.1406e-01  3.1968e-01  1.1484e-01 -1.7834e-01
  4.9443e-01  3.8421e-01 -6.4585e-01  1.9135e-01]"
14,wakaba,"[ 3.6558e-02 -2.1088e-01 -2.2644e-01 -3.1477e-01 -3.7592e-01 -2.2152e-01
 -8.0608e-03  4.5501e-01  4.9648e-02 -1.2010e-01 -2.7020e-01  1.6609e-01
 -2.5039e-01  4.7201e-03 -4.4478e-02 -4.5720e-01 -1.3666e-01  3.6283e-01
  1.0191e-01  2.4172e-01  4.7339e-04 -1.4362e-01 -4.1930e-01 -2.7372e-01
 -3.9296e-01  4.0272e-01 -1.1530e-01  5.2922e-02 -1.1181e-01  3.4769e-01
  3.0456e-01 -9.3055e-02  3.4385e-01  3.4781e-01  2.1298e-01  4.9395e-02
  5.5764e-02 -6.5074e-01  1.0619e-01 -1.1643e-01 -5.3547e-03  4.4095e-01
  2.5582e-02  6.5884e-01 -3.4316e-01  7.5752e-03 -1.7678e-01  1.6554e-01
 -2.6340e-01  6.0961e-01  2.2386e-02  1.8988e-02 -1.0641e-01 -3.6936e-01
  8.7163e-02  1.6233e-01  3.8994e-01  2.2742e-01 -7.4887e-01 -5.2880e-01
  2.6957e-02 -4.4853e-01 -1.8373e-01  1.7605e-01 -2.6474e-01  6.1584e-02
 -2.8904e-01 -1.7536e-01 -1.6347e-02  6.2932e-02 -2.4182e-01  3.6076e-01
  2.2366e-01  2.2587e-01  1.1006e-01  3.0868e-01  2.5696e-01  3.1903e-01
  5.1370e-01  7.9021e-02 -2.3817e-01 -2.9083e-01  2.0283e-02 -1.0843e-01
  3.2908e-01 -2.0450e-02  5.3930e-02  1.3167e-01  5.0370e-02  2.4221e-01
 -1.2768e-01  1.7798e-01  1.4341e-01  1.3939e-02  2.7467e-01 -3.1788e-01
  3.2286e-01  4.6798e-02 -6.2938e-01  1.8657e-01]"
15,13:28,"[-2.6226e-01  1.3203e-02 -7.3155e-02  4.5391e-01 -3.4684e-01  6.8958e-01
  1.3712e-02 -2.9179e-01  6.1337e-03  3.8813e-01  5.4843e-01  1.3813e-01
  1.8499e-01  6.1381e-03  5.1634e-01 -1.1020e-01 -3.7595e-01 -2.9841e-01
  2.1913e-01 -2.8695e-01 -1.4830e-01 -2.3775e-02 -4.0188e-01  1.6303e-02
  1.1025e-01  3.9588e-01 -8.0148e-02  4.6870e-01 -1.8618e-02 -1.4173e-01
 -1.0664e-01  7.1737e-02 -2.1367e-02 -7.2464e-01 -3.7221e-02 -4.0992e-01
  2.1186e-01 -1.1073e-01 -1.8433e-01  3.3933e-01  7.1489e-01 -2.5019e-01
  6.0714e-02  3.2260e-01 -2.6068e-01 -4.9688e-01  8.2063e-02  4.4015e-01
 -2.9179e-01  2.6121e-02  3.9003e-01 -1.3261e-01 -2.7368e-01 -3.3038e-02
  3.4644e-01  3.4945e-01 -4.9902e-01  2.2072e-01 -1.0589e+00 -2.2311e-01
 -1.5204e-01 -2.8235e-01  4.9348e-01 -7.7451e-02 -3.4505e-01 -2.8562e-01
 -6.0960e-01 -6.2346e-01  6.1873e-02 -1.6225e-01 -5.1045e-01  1.0083e+00
 -1.4448e-01 -4.4906e-03 -2.0199e-02 -6.8442e-02 -4.4406e-01 -4.0719e-01
  6.8015e-01  8.3887e-02 -4.8496e-01 -8.5720e-02  7.7666e-02 -3.0618e-01
  5.3281e-01  3.7381e-01  1.1504e-01  2.3475e-01  5.7163e-02 -8.5188e-02
 -2.0684e-01 -9.9235e-02  2.9859e-02  2.4174e-01  3.1307e-04  5.0099e-02
  2.5721e-01  5.7255e-01 -2.3556e-01 -2.2532e-01]"
16,bursey,"[ 1.3202e-01 -1.0292e-01 -7.0003e-01  8.8234e-02 -2.5043e-02 -4.8031e-01
  5.8983e-01 -4.3584e-01  1.9791e-01 -7.1259e-01  5.8639e-02  4.2433e-01
 -1.0362e-01 -2.3586e-01  8.0075e-03  2.2602e-01 -5.4761e-01  1.7397e-01
  1.1530e-01  1.5525e-01 -4.9242e-01 -1.0692e-01 -5.5922e-02 -4.2262e-02
 -3.4700e-01  3.9099e-01  9.6897e-02  1.7362e-01 -3.1539e-01  3.8927e-01
 -3.5122e-02 -2.6605e-01  5.2842e-01 -8.2614e-02  3.6523e-01 -8.6717e-02
  3.7200e-01 -2.7395e-01  2.8254e-01  3.5492e-01  2.2232e-01  1.7612e-01
 -1.2190e-01  4.5346e-01  1.0695e-01  3.6351e-02  3.2998e-01  1.1502e-01
 -2.4456e-01 -3.6254e-01  1.4500e-01 -2.3289e-01  1.2678e-02 -5.0229e-01
  7.0497e-01  6.7818e-01 -7.4075e-02  3.6744e-02 -6.7115e-01 -1.6166e-01
  3.6087e-01 -5.1098e-02  6.4316e-01 -2.9149e-01 -4.4582e-01 -1.5971e-01
 -4.5791e-02  2.2376e-01 -3.2360e-01 -2.3484e-01  2.0430e-04  1.1763e-01
 -7.4873e-04  9.1915e-02  1.2758e-01  6.4418e-03 -7.3099e-02 -4.2129e-02
  1.7148e-01  4.8827e-01 -1.7434e-01 -3.5887e-03  4.6560e-02 -5.0422e-01
  7.5907e-01 -1.8419e-01  1.1943e-01 -1.3424e-01  4.1495e-02  2.6196e-01
  3.7553e-01  2.0946e-01 -2.7590e-02  1.6991e-01  4.1559e-01 -3.9024e-02
 -4.3633e-03  3.6545e-01 -2.7504e-01  2.4052e-03]"
17,walibi,"[ 4.9180e-01  1.2961e-01  3.8425e-02  2.6843e-01 -1.6107e-01  1.9438e-01
 -3.6222e-01 -8.9423e-02  1.0693e-02 -8.3942e-01 -6.2684e-01 -2.7748e-01
 -6.6399e-01  1.9053e-01 -4.3235e-01  3.0082e-01  3.0245e-01  1.4876e-01
 -3.3612e-01 -4.1835e-02  1.7148e-01  3.4266e-01 -3.0292e-02 -2.7131e-01
 -2.1701e-01 -1.2985e-01  7.2699e-02  3.0824e-01 -5.3478e-01  3.1381e-02
 -1.8646e-01 -2.2497e-01  4.1618e-01  2.0094e-01  3.1847e-01  1.8256e-01
 -9.7577e-02  1.8444e-01 -2.0105e-01 -3.6064e-01  7.3961e-01 -5.2637e-02
 -1.9133e-01  6.4530e-01  3.7481e-04  9.7735e-01  3.2581e-01  5.9313e-01
  1.6640e-03  2.6217e-01  2.2639e-01 -3.0114e-01 -1.3192e-01 -6.0814e-01
  2.8888e-01  3.2921e-01  3.2191e-02  2.2977e-01 -3.4636e-01 -2.5378e-01
  1.0174e-01 -3.9709e-01  3.2773e-01 -5.6126e-02 -4.1057e-01  2.9036e-01
 -7.5865e-01  5.1892e-01 -2.7712e-01  1.5319e-01  2.9017e-01  1.9753e-01
 -1.8289e-01 -2.1959e-01 -1.4491e-01  2.8061e-01  5.2066e-01 -6.0261e-01
  3.1492e-01  4.4007e-01 -4.9766e-01  1.1656e-02  5.5559e-01  1.3648e-01
  6.4455e-01  3.0692e-01 -6.5703e-01 -2.4983e-01  2.9682e-01  9.8115e-01
 -2.3878e-01 -2.0312e-01  3.7841e-01 -3.8485e-01  5.9144e-01 -6.8106e-02
 -1.4641e-01  3.0557e-01 -3.8824e-01 -1.1542e-01]"
18,slidre,"[ 0.13484   -0.29662   -0.25441    0.60455   -0.035483   0.20096
  0.063988  -0.073611   0.40683    0.089638  -0.10585    0.42088
 -0.12662    0.017606  -0.35334    0.12609   -0.20968    0.40364
  0.4001    -0.10357   -0.063007   0.38899    0.049002   0.10927
 -0.62381    0.0011953  0.22694    0.35019   -0.19364    0.23102
  0.02957   -0.5561     0.40001   -0.34007    0.25127   -0.36397
  0.48298   -0.33362   -0.17716   -0.45712    0.45611    0.14177
 -0.18639   -0.23833   -0.35014    0.12074    0.21239    0.46037
 -0.34146    0.5565    -0.56997   -0.040011   0.075265  -0.52789
 -0.30718    0.65345   -0.053182  -0.37665   -1.145     -0.4034
  0.098551  -0.70347   -0.33129   -0.10069   -0.13714    0.47894
 -0.1703    -0.33285   -0.54415    0.038062   0.12951   -0.015823
  0.086692   0.68323    0.21795   -0.0039744  0.25223   -0.22753
  0.60382   -0.1343    -0.21831    0.43714   -0.12131    0.49856
  0.41354   -0.0025976 -0.52875    0.078396  -0.0012997  0.45627
 -0.53175   -0.29266   -0.26746    0.23498    0.4018     0.34388
  0.19347    0.19066   -0.15681   -0.39323  ]"
19,tpj,"[ 1.5501e-01 -3.3609e-01 -5.6953e-04 -3.0947e-01 -3.6594e-01  1.9252e-01
 -1.0332e-01  7.8698e-02  4.5549e-01 -4.4996e-01  1.9139e-01  3.7266e-02
  2.7141e-01  1.3421e-01 -2.2022e-01  2.0576e-01 -1.8265e-01 -2.0476e-02
  2.9136e-01 -3.2604e-01 -3.1994e-01 -3.7443e-03 -3.0435e-01 -1.4165e-01
 -3.4294e-01 -2.0932e-01 -1.1953e-01 -1.2309e-01  8.5522e-02  1.9383e-01
 -5.4943e-02  3.3676e-01  3.1456e-01 -6.5788e-02 -1.6616e-01 -1.1424e-01
  4.2782e-02 -8.4336e-02 -1.6815e-01  2.1276e-01  7.4951e-03  4.1996e-01
  3.9365e-02 -6.8744e-02  1.0424e-01 -8.3917e-03  2.6549e-01  2.3136e-01
  6.1873e-02  4.5525e-01  3.0805e-01  5.2000e-01 -2.2685e-01 -2.9958e-01
 -1.9990e-02  8.7949e-01  2.0834e-02  2.3781e-01 -2.3104e-01 -3.1365e-01
  1.7988e-03 -8.8752e-02  6.2462e-01 -7.5639e-02  4.4866e-02  5.3296e-01
 -3.1349e-01 -7.4126e-01 -3.7733e-01  5.2082e-02  1.4545e-01 -1.6786e-01
  3.2152e-01  3.8404e-01  2.5476e-01 -4.0621e-01 -5.9231e-02  6.6541e-02
  6.4725e-01  5.4584e-02 -8.1767e-01  9.9059e-02 -2.9009e-02 -1.3583e-01
  8.2729e-02  1.4325e-01  2.3539e-01  4.6386e-01  1.7803e-01  4.6320e-01
 -2.9536e-01 -1.4081e-01 -1.0755e-01  5.4281e-02  1.1182e-01  1.8515e-01
  3.8266e-01  1.5559e-01 -2.4472e-01  2.2695e-01]"
