,word,values_
1,119.36,"[ 0.3458    -0.27759    0.1704     0.28379    0.0038337 -0.24842
 -0.1947    -0.39863   -0.38687   -0.17886    0.29442    0.41262
 -0.28891   -0.096846   0.4236     0.070171   0.098838  -0.46206
  0.053946  -0.36678    0.13364    0.47305   -0.092295  -0.106
 -0.39211   -0.4343    -0.14543    0.27421    0.26444    0.74926
  0.25968    0.039885  -0.36489    0.16369   -0.29082    0.053354
 -0.46214   -0.51153    0.043736  -0.15375    0.23623    0.1179
 -0.73409    0.2934     0.35611   -0.16135   -0.28469    0.45802
  0.06918   -0.006911   0.46929    0.060892   0.16937   -0.83522
 -0.066851   0.3326    -0.92453    0.008746  -0.088637  -0.55991
 -0.19207    0.54325   -0.29256    0.49769   -1.2458    -0.26558
 -0.30946   -0.23011   -0.013308   0.26988   -0.043612  -0.28617
 -0.18181    0.015222  -0.33843   -0.071504  -0.0091055  0.0085865
  0.54436    0.12248   -0.28696   -0.16702    0.39916   -0.3647
  0.42931    0.33964    0.097394   0.41933    0.068142  -0.1527
 -0.37402    0.053033   0.36949    0.070953   0.3461    -0.26612
 -0.15338    0.28362    0.28932   -0.011205 ]"
2,atutubo,"[-0.079962  -0.82037   -0.24966    0.12932    0.34721   -0.30543
 -0.084484  -0.13351    0.79282   -0.041046  -0.1925     0.087069
 -0.31186   -0.021404   0.32448    0.045456  -0.24613    0.74162
  0.2947     0.12701   -0.50633    0.14889   -0.65089   -0.44218
 -0.55894    0.32202    0.20361   -0.10599    0.17709   -0.16277
  0.027778  -0.63957    0.090362  -0.19972    0.2532    -0.15232
 -0.13594    0.34999    0.54449    0.035639   0.72198    0.25932
  0.12631    0.58803   -0.35373    0.017928  -0.071061  -0.14506
 -0.4864     0.36612    0.13015   -0.80814   -0.34189   -0.23475
 -0.0073663  0.39201   -0.095233   0.30705   -0.29682    0.093311
  0.30527   -0.49774    0.22681   -0.51089   -0.86867   -0.32022
 -0.35945   -0.1669    -0.34615    0.1446     0.31283    0.12414
  0.122     -0.25369    0.36531   -0.19059   -0.16463    0.23949
  0.69842    0.64106   -0.27224   -0.58066    0.24494   -0.45237
  0.59861    0.28033   -0.35954    0.25506   -0.39245    0.36416
  0.40387   -0.25231    0.41004   -0.52431   -0.061518   0.24457
  0.16371    0.17437   -0.67928    0.099217 ]"
3,lendus,"[ 1.0556e-01  1.8106e-01 -4.8922e-01  1.4648e-01  3.3838e-01  2.2683e-01
 -1.3705e-01 -5.9862e-02  1.5503e-01 -1.5944e-01 -6.0280e-01 -3.6079e-01
  7.3784e-01 -2.6755e-01 -3.7190e-01 -5.8922e-01 -3.3194e-01 -2.1708e-01
 -3.3204e-01 -5.0693e-01 -1.3605e-01 -6.7950e-02  2.3050e-01 -5.4639e-01
 -4.6984e-01  7.3560e-02 -1.9001e-01  5.2550e-01 -3.2305e-01 -3.8891e-02
  6.0435e-01  1.3810e-01  1.4272e-01 -5.5525e-01  2.4686e-01 -1.8160e-01
  5.8948e-01 -3.9848e-01  1.7582e-02  1.1719e-02 -2.1863e-01 -1.0182e-01
 -4.9947e-01  6.3858e-01 -1.1846e-01 -4.4598e-01  3.2177e-01  1.9531e-01
  2.6417e-01  1.5790e-01 -7.7705e-01  4.1741e-01 -7.6156e-01 -2.3412e-01
 -7.6715e-02  1.5398e+00  9.2248e-02  6.8237e-02 -2.8050e-01 -5.4093e-01
  7.1865e-02 -2.3087e-01  8.4292e-01 -2.5450e-01  1.7054e-01 -8.4907e-02
 -1.1861e-02 -2.3792e-01 -3.1378e-01 -7.4627e-01 -1.3258e-01  3.5818e-01
 -5.0349e-01  4.1645e-01 -7.9275e-01 -1.9249e-01 -3.1207e-01 -5.0131e-02
  7.2797e-01  1.8337e-01 -4.6796e-01  1.4848e-01  1.8354e-01 -2.3074e-01
  1.3962e-01 -5.8122e-01 -2.5117e-01  2.9938e-01 -5.5354e-01 -1.7105e-02
 -2.2644e-01  2.2808e-02 -6.0253e-02  3.0651e-01 -7.5064e-01  5.1895e-02
 -7.9361e-04  2.0385e-01 -2.5891e-01 -1.5017e-01]"
4,cicavica,"[ 0.30011    0.0023305 -0.047695   0.70875    0.052758  -0.34525
 -0.13213    0.11414   -0.072332  -0.081789   0.37619    0.29386
 -0.038462  -0.63138   -0.18249   -0.097869  -0.18255   -0.14913
 -0.086086  -0.66595   -0.23968    0.25546   -0.62884    0.11168
 -0.056358   0.65321    0.099723   0.58512   -0.35383   -0.34627
 -0.13254   -1.0696     0.074729  -0.11318    0.12737   -0.29945
  0.33156   -0.13791    0.4628    -0.016688   0.30784    0.31546
 -0.39224    0.010639  -0.64475    0.61341    0.45913    0.37613
  0.38733    0.37703    0.056766   0.39338   -0.62989   -0.58936
 -0.024542   0.28297    0.031944  -0.06027   -0.39252   -0.16218
  0.19826    0.22747    0.027855  -0.28019   -0.48838    0.14604
 -0.43844   -0.76578   -0.26494    0.026597   0.18316    0.2883
 -0.061823   1.0105    -0.60869   -0.01475    0.014228   0.46035
  0.84112    0.41544   -0.1382     0.47675   -0.10102   -0.42552
  0.50771   -0.259     -0.085556  -0.15282    0.048838   0.72748
 -0.24584    0.1956    -0.26101    0.24816   -0.29616    0.11107
 -0.017042   0.50061    0.35313    0.051936 ]"
5,nzl-82,"[ 0.24486     0.12283     0.20617    -0.13168    -0.10016    -0.3668
  0.30422     0.31805     0.37528     0.014772   -0.0023786   0.40855
 -0.091931   -0.11372    -0.51027    -0.45777     0.010457   -0.055752
  0.22802    -0.28334    -0.068573   -0.17412    -0.013697   -0.31535
  0.080397    0.23249    -0.45186    -0.0044861   0.040646   -0.11522
 -0.14881     0.20463    -0.21442     0.096848    0.063298   -0.34495
 -0.068772   -0.4065     -0.37754     0.026353    0.041629   -0.20454
  0.33222    -0.15587    -0.41677     0.237      -0.00097596  0.3491
  0.56273     0.34521    -0.052982    0.31698    -0.16093    -0.13309
  0.14057     0.51824    -0.21072     0.267      -0.078736   -0.25003
 -0.19145    -0.3633      0.7279      0.099983   -0.15118     0.53231
 -0.55152     0.027395   -0.05923    -0.22666     0.046622    0.078916
  0.13673     0.49524     0.091237   -0.031054    0.13286     0.3771
  0.16763    -0.14269    -0.5073     -0.1141      0.33309     0.34264
  0.73983    -0.36058    -0.10592     0.038124   -0.5402      0.41077
  0.18826     0.33507     0.25687    -0.17928     0.29301    -0.24013
 -0.19922     0.46404     0.13688     0.36407   ]"
6,kharazzi,"[-0.13775   -0.29132   -0.27847    0.052402   0.11784   -0.8984
 -0.56458    0.21228    0.64185    0.13752   -0.38061    0.12313
 -0.51845   -0.19653    0.14291    0.36873   -0.48554    0.61949
 -0.038206  -0.24266    0.29124    0.24045    0.013258  -0.12407
 -0.10991    0.17413    0.090224   0.12896    0.51952   -0.26825
 -0.026466  -0.1532    -0.65597   -0.1774    -0.045234   0.017502
  0.18755    0.0079062 -0.37089    0.21376    0.69077    0.6659
 -0.14191    0.29321    0.31461   -0.37112    0.07087    0.6448
 -0.1029     0.1689     0.16647   -0.29774    0.29266   -0.28529
  0.21188    0.69089   -0.36937    0.40055   -0.58099   -0.010483
 -0.14396   -0.525      0.58376   -0.55751   -0.63326   -0.17413
  0.49033    0.021395  -0.4165    -0.18662    0.28894    0.0042118
  0.41101    0.18625   -0.51754    0.43811   -0.33927    0.16582
  0.53122    0.43265    0.18902   -0.098665   0.35888   -0.9113
  0.24181   -0.21922    0.12749    0.33035   -0.31082   -0.096463
  0.47875   -0.07604    0.18757   -0.32494    0.42731   -0.24638
 -0.10499    0.48844   -0.29799   -0.041079 ]"
7,neicer,"[ 2.4276e-01 -6.8370e-02 -3.6492e-02  8.8763e-01  2.8688e-01  4.0442e-01
  2.2750e-02  3.2581e-01  3.2031e-01  3.9385e-02  6.0223e-01  1.3026e-01
  6.8020e-02  4.3836e-01  2.2937e-01 -6.8607e-01 -2.3098e-01  7.5397e-02
  3.8658e-01  3.0207e-02 -7.4349e-02  4.2030e-01  1.3148e-01  1.3731e-01
 -6.2274e-04  2.6389e-01 -3.1165e-01  8.4824e-01 -3.9015e-02 -1.5971e-01
 -2.2948e-01 -8.3320e-01 -3.0699e-01 -6.5316e-01  3.0734e-01 -1.0487e-01
  3.4658e-01 -5.8793e-01  6.8781e-01 -3.3261e-01  4.6573e-01  9.0042e-01
 -1.4989e-01 -4.6819e-01 -2.9708e-01 -8.1005e-01 -1.2698e-01 -2.6416e-01
  2.4160e-01  9.6590e-02  2.1838e-01  5.2639e-01  1.5323e-01 -4.2703e-01
  5.4653e-01  1.1037e+00  3.9030e-01  4.3628e-01 -1.0686e+00  3.5261e-01
  4.2411e-01 -2.7096e-01 -1.7275e-02 -2.5956e-01 -4.1468e-01 -4.9314e-01
 -6.8001e-01  1.2520e-01 -3.9732e-01  8.4496e-01  1.6949e-01  3.2044e-01
  7.4153e-01  3.8495e-01 -1.1665e-01 -3.0386e-01  1.7866e-03  4.6443e-01
  1.7155e-01 -4.8961e-01 -4.7662e-01 -1.2825e-01  1.4328e-01 -2.6721e-01
  6.3168e-01  2.0846e-01 -7.9101e-02  7.3719e-02  1.7814e-01 -2.2689e-01
  4.0313e-01 -3.2392e-01  1.3659e-01 -8.0286e-02  6.2725e-01  3.1400e-01
  2.7348e-01  5.5551e-01 -6.4375e-01 -7.6204e-01]"
8,nzsx-40,"[ 0.57396    0.21501    0.1596     0.087911  -0.83997    0.08441
 -1.3013    -0.25229    0.086784   0.0016855  0.59945    1.0207
 -0.31528    0.079843  -0.49875    0.096597   0.1628    -0.63905
  0.91742   -0.48537   -0.21008   -0.25365   -0.44801   -0.49696
 -0.20445   -0.34409    0.1254    -0.079159  -0.55559   -0.1055
 -0.092038  -0.089707   0.19678    0.12308    0.53305   -0.51067
  0.18308    0.23282    0.3555    -0.059006  -0.1168    -0.59834
  0.21102    0.29356    0.36074    0.72249   -0.59163    0.26158
 -0.11801    0.17998   -0.078662   0.18904    0.032973  -0.085476
 -0.53694    0.96744   -0.046034   0.35962   -0.029731   0.22631
  0.30368   -0.70902   -0.26506    0.25082   -0.61093    0.76459
 -0.29106   -0.51133   -0.61617    1.0282    -0.52918   -0.46055
 -0.030491  -0.12995   -0.11634    0.1773     0.50345    0.09285
  0.5523    -0.27255   -0.30348    0.50819   -0.60061   -0.95851
 -0.15037   -0.083602   0.042934   0.033244   0.59736   -0.34248
 -0.67463   -0.73229    0.13105   -0.091328  -0.026907   0.030512
  0.10369    0.32888    0.41385    0.45139  ]"
9,2tradeasia,"[-0.20589   -0.79673   -0.61599    0.25211   -0.58648    0.25101
 -0.090524  -0.5118     1.1879     0.23173    0.22713   -0.37489
 -0.14037   -0.20827   -0.3202    -0.17266    0.076863  -0.11744
  0.058421   0.32346   -0.3586     0.60305   -0.73869   -0.37571
 -0.01494    0.55573    0.3712     0.50908   -0.099006  -0.10882
  0.76707   -0.59483    0.1859    -0.22305    0.18936   -0.12815
 -0.42091   -0.024172   0.39639   -0.60031    0.9152     0.47346
 -1.3861    -0.061387  -0.65428   -0.35325   -0.18768   -0.27479
  0.27759    0.30366    0.19549   -0.66787   -0.39977   -1.2302
  0.41771    0.49819   -0.62859    0.15606   -0.18324    0.63742
 -0.5326    -1.1202     0.03589   -0.15387   -0.69959   -0.23133
 -0.189     -0.58793    0.83655    0.023099   0.048602   0.93464
  0.3033    -0.69561   -0.10713   -0.46362    0.45864    0.091869
 -0.45581    0.060738  -0.24977   -0.23333    0.66759    0.42104
  0.86373   -0.0089724 -0.62433   -0.31562   -0.35591    0.38598
  0.033552   0.61631    0.70807   -0.022972   0.77362   -0.057234
  0.17105    0.667     -0.36823    0.38902  ]"
10,allstetter,"[-1.9203e-01 -5.0058e-01 -8.5701e-01  6.1728e-02 -2.1584e-01 -5.8128e-02
 -5.7359e-02 -4.5735e-01  3.0340e-01  1.2992e-01 -6.6187e-01 -6.7883e-02
 -6.7539e-02  1.7715e-01 -1.6312e-01 -3.4313e-02 -3.5294e-01 -7.5198e-03
 -1.1562e-01  9.4336e-02 -1.9407e-01  3.1010e-01 -7.7671e-01 -7.8651e-01
  4.0339e-02  5.5100e-03 -2.2705e-01  2.4094e-02  5.7887e-03  1.4248e-01
  3.4894e-01 -4.2011e-01 -5.1558e-01 -1.7664e-02  2.6214e-01 -1.4561e-01
 -3.5439e-01  4.4232e-01  1.7367e-01  2.2278e-01  3.6245e-01  2.3261e-01
 -4.6801e-01  7.3232e-02 -3.9541e-01 -2.1259e-01 -5.9459e-02  1.0635e-01
 -1.2866e-01  4.3971e-01  4.1909e-01 -1.2576e+00  1.0520e-01 -8.2581e-01
  3.2623e-01  2.4894e-01 -1.0152e-01  1.8185e-04 -3.8606e-01  1.8427e-01
  3.1473e-01 -7.6836e-01  1.2648e-01  5.6438e-02 -7.0685e-01 -1.6928e-01
 -1.4004e-01  2.5553e-01  3.1395e-03 -4.3577e-01  9.0614e-02  3.3044e-01
  5.9143e-01  3.1967e-01  5.7530e-01 -1.5731e-01  2.9008e-01  6.4461e-01
 -1.9452e-01 -1.9298e-02 -1.9009e-01 -5.6604e-01  2.9368e-01 -3.8694e-01
  6.6281e-01  2.6123e-01 -1.0670e-01  2.7746e-01 -5.2273e-01  3.4109e-01
  5.0377e-01 -2.4168e-01  4.2145e-01  3.1229e-01  1.3684e-01  5.2906e-01
  3.9200e-01  6.4864e-01 -3.7240e-01 -3.7152e-02]"
